,index,Movie,P_Genre,S_Genre,T_Genre,Cluster_Id
2530,2575,ice age: the meltdown,0,16,5,3
2531,2576,surf's up,0,16,5,3
2532,2577,fritz the cat,0,6,8,32
2533,2578,captain underpants: the first epic movie,0,4,17,12
2534,2579,an american tail,0,16,5,3
2535,2580,oliver &amp; company,0,16,5,3
2536,2581,batman: the killing joke,0,4,4,105
2537,2582,mimi wo sumaseba,0,8,15,43
2538,2583,trouble,0,16,5,3
2539,2584,open season,0,16,5,3
2540,2585,naya legend of the golden dolphin,0,4,17,12
2541,2586,bambi,0,16,8,40
2542,2587,titan a.e.,0,4,17,12
2543,2588,loving vincent,0,3,4,214
2544,2589,hoodwinked!,0,16,5,3
2545,2590,extinct,0,16,5,3
2546,2591,rock dog,0,16,5,3
2547,2592,shin evangelion gekijôban,0,4,8,50
2548,2593,anomalisa,0,6,8,32
2549,2594,catwoman: hunted,0,4,4,105
2550,2595,koto no ha no niwa,0,8,16,119
2551,2596,spirit untamed,0,16,5,3
2552,2597,byôsoku 5 senchimêtoru,0,8,15,43
2553,2598,the great mouse detective,0,16,15,9
2554,2599,the peanuts movie,0,16,5,3
2555,2600,ballerina,0,16,5,3
2556,2601,kokuriko-zaka kara,0,6,8,32
2557,2603,the willoughbys,0,16,5,3
2558,2604,coonskin,0,4,5,21
2559,2605,barnyard,0,16,5,3
2560,2606,looney tunes: back in action,0,16,5,3
2561,2607,omoide no mânî,0,8,15,43
2562,2610,the transformers: the movie,0,4,17,12
2563,2611,jimmy neutron: boy genius,0,4,17,12
2564,2612,curious george,0,16,5,3
2565,2613,marmaduke,0,16,5,3
2566,2614,chicken run: dawn of the nugget,0,16,5,3
2567,2615,omohide poro poro,0,8,16,119
2568,2616,the many adventures of winnie the pooh,0,16,5,3
2569,2617,frankenweenie,0,6,8,32
2570,2618,next gen,0,4,17,12
2571,2619,batman: mask of the phantasm,0,4,17,12
2572,2620,balto,0,16,8,40
2573,2621,supurigan,0,4,17,12
2574,2623,rock-a-doodle,0,16,5,3
2575,2624,stuart little 2,0,16,5,3
2576,2625,the last: naruto the movie,0,4,17,12
2577,2626,animal crackers,0,16,5,3
2578,2627,planet 51,0,16,5,3
2579,2628,resident evil: vendetta,0,4,17,12
2580,2629,hop,0,16,5,3
2581,2630,gekijô-ban poketto monsutâ - myûtsû no gyakushû,0,4,17,12
2582,2631,home on the range,0,16,5,3
2583,2632,teenage mutant ninja turtles: the next chapter,0,4,17,12
2584,2633,cowboy bebop: tengoku no tobira,0,4,4,105
2585,2634,a christmas carol,0,16,5,3
2586,2635,monkeybone,0,6,6,101
2587,2636,persepolis,0,3,8,142
2588,2637,an american tail: fievel goes west,0,16,15,9
2589,2638,redline,0,4,1,69
2590,2639,toki o kakeru shôjo,0,16,5,3
2591,2640,memorîzu,0,1,9,157
2592,2641,le sommet des dieux,0,16,8,40
2593,2642,vampire hunter d: bloodlust,0,4,8,50
2594,2643,tom and jerry: the movie,0,16,5,3
2595,2644,the boxtrolls,0,16,5,3
2596,2645,evil toons,0,6,14,244
2597,2646,bigfoot family,0,16,15,9
2598,2647,my father's dragon,0,16,5,3
2599,2648,walking with dinosaurs 3d,0,16,5,3
2600,2649,sgt. stubby: an american hero,0,16,15,9
2601,2650,blaze,0,5,8,175
2602,2651,the wild,0,16,5,3
2603,2652,coyote vs. acme,0,16,5,3
2604,2653,justice society: world war ii,0,4,17,12
2605,2654,blue's big city adventure,0,6,15,25
2606,2655,planes: fire &amp; rescue,0,16,5,3
2607,2656,foodfight!,0,4,17,12
2608,2657,les triplettes de belleville,0,6,8,32
2609,2658,when the wind blows,0,6,8,32
2610,2659,jungle beat: the movie,0,16,5,3
2611,2660,kingsglaive: final fantasy xv,0,4,17,12
2612,2661,starship troopers: traitor of mars,0,4,1,69
2613,2662,fainaru fantajî sebun adobento chirudoren,0,4,17,12
2614,2663,little nemo,0,16,5,3
2615,2664,red shoes and the seven dwarfs,0,4,17,12
2616,2665,happy feet two,0,16,5,3
2617,2666,untitled adventures of tintin sequel,0,4,17,12
2618,2667,berserk: ougon jidai-hen i - haou no tamago,0,4,17,12
2619,2668,gantz: o,0,4,8,50
2620,2669,alpha and omega,0,16,5,3
2621,2670,garfield: a tale of two kitties,0,16,5,3
2622,2671,yellow submarine,0,16,5,3
2623,2672,the spine of night,0,4,17,12
2624,2673,riverdance: the animated adventure,0,16,5,3
2625,2674,the nut job,0,16,5,3
2626,2675,evangelion shin gekijôban: jo,0,4,8,50
2627,2676,made in abyss: fukaki tamashî no reimei,0,16,8,40
2628,2677,pets united,0,16,5,3
2629,2678,finding jesus,0,14,6,58
2630,2679,the adventures of rocky &amp; bullwinkle,0,16,5,3
2631,2680,yôjû toshi,0,4,6,84
2632,2681,batman and harley quinn,0,4,17,12
2633,2682,uglydolls,0,16,5,3
2634,2683,j'ai perdu mon corps,0,8,6,41
2635,2684,boruto: naruto the movie,0,4,17,12
2636,2685,the tale of despereaux,0,16,5,3
2637,2686,heisei tanuki gassen ponpoko,0,6,8,32
2638,2687,joze to tora to sakanatachi,0,8,16,119
2639,2688,samâ uôzu,0,4,17,12
2640,2689,hotarubi no mori e,0,8,6,41
2641,2690,teen titans go! &amp; dc super hero girls: mayhem in the multiverse,0,4,17,12
2642,2691,tôkyô goddofâzâzu,0,16,5,3
2643,2692,once upon a forest,0,16,8,40
2644,2693,nakitai watashi wa neko o kaburu,0,16,8,40
2645,2694,berserk: ougon jidai-hen iii - kourin,0,4,17,12
2646,2695,one piece: stampede,0,4,17,12
2647,2696,jin-rô,0,4,8,50
2648,2697,where is anne frank,0,8,15,43
2649,2698,middle school: the worst years of my life,0,6,15,25
2650,2699,la tortue rouge,0,14,6,58
2651,2700,charming,0,16,5,3
2652,2701,ainbo: spirit of the amazon,0,16,5,3
2653,2702,mortal kombat legends: battle of the realms,0,4,17,12
2654,2704,the amazing world of gumball: the movie,0,16,5,3
2655,2705,yogi bear,0,16,5,3
2656,2706,mirai no mirai,0,16,8,40
2657,2707,batman: soul of the dragon,0,4,17,12
2658,2708,un monstre à paris,0,16,5,3
2659,2709,the rugrats movie,0,16,5,3
2660,2710,fantasia 2000,0,14,6,58
2661,2711,"hansel, gretel i agentstvo magii",0,16,5,3
2662,2712,the secret of kells,0,16,15,9
2663,2713,batman ninja,0,4,1,69
2664,2714,cats don't dance,0,6,15,25
2665,2715,steven universe: the movie,0,4,17,12
2666,2716,pil,0,16,6,104
2667,2717,mars needs moms,0,4,17,12
2668,2718,starship troopers: invasion,0,4,1,69
2669,2719,gnome alone,0,16,5,3
2670,2720,free birds,0,16,5,3
2671,2721,ma vie de courgette,0,6,8,32
2672,2722,baiohazado: damuneshon,0,4,14,87
2673,2723,batman: gotham by gaslight,0,4,17,12
2674,2724,kaisokuou ni ore wa naru,0,4,17,12
2675,2725,kimitachi wa dô ikiru ka,0,16,15,9
2676,2726,constantine: city of demons,0,4,6,84
2677,2727,one piece film: gold,0,4,17,12
2678,2728,it's such a beautiful day,0,6,8,32
2679,2729,the tiger's apprentice,0,4,17,12
2680,2730,foxy trotter,0,6,8,32
2681,2731,the phantom tollbooth,0,16,5,3
2682,2732,escape from planet earth,0,16,5,3
2683,2733,"kimi to, nami ni noretara",0,6,8,32
2684,2734,spider-man: beyond the spider-verse,0,4,17,12
2685,2735,kimetsu no yaiba: natagumo yama hen,0,4,6,84
2686,2736,the spongebob squarepants movie rehydrated,0,16,5,3
2687,2737,gekijouban bishoujo senshi sailor moon eternal,0,4,17,12
2688,2738,bebe's kids,0,6,6,101
2689,2739,sennen joyû,0,8,6,41
2690,2740,baba yaga,0,16,15,9
2691,2741,wonder woman: bloodlines,0,4,6,84
2692,2742,hoodwinked too! hood vs. evil,0,16,5,3
2693,2743,the queen's corgi,0,6,15,25
2694,2744,eiga daisuki pompo-san,0,6,8,32
2695,2745,heavy traffic,0,6,8,32
2696,2746,ratchet &amp; clank,0,4,17,12
2697,2747,mutafukaz,0,4,5,21
2698,2748,stranger: mukô hadan,0,4,17,12
2699,2749,arthur 3: la guerre des deux mondes,0,16,15,9
2700,2750,return to never land,0,16,15,9
2701,2751,the congress,0,8,1,98
