,index,Movie,P_Genre,S_Genre,T_Genre,Cluster_Id
2957,3010,bayonetta: bloody fate - beyonetta buraddi feito,0,4,6,84
2958,3011,you are my home,0,14,6,58
2959,3012,"uchiage hanabi, shita kara miru ka? yoko kara miru ka?",0,8,6,41
2960,3013,fearless,0,6,15,25
2961,3014,daughter of the bride,0,6,15,25
2962,3015,sammy's avonturen 2,0,16,15,9
2963,3016,eiga kono subarashii sekai ni shukufuku o!: kurenai densetsu,0,4,17,12
2964,3017,vykradena pryntsesa: ruslan i lyudmyla,0,6,15,25
2965,3018,kôkaku kidôtai sac_2045 jizoku kanô sensô,0,4,1,69
2966,3019,kamiarizuki no kodomo,0,16,8,40
2967,3020,jojo's bizarre adventure: phantom blood,0,4,17,12
2968,3021,da yu hai tang,0,16,8,40
2969,3022,care bears movie ii: a new generation,0,16,5,3
2970,3023,10 lives,0,6,15,25
